Country,index,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Albania,population,2188650,2241623,2294578,2347607,2400801,2454255,2508026,2562121,2616530,2671300,2725029,2777592,2831682,2891004,2957390,3033393,3116009,3194854,3255859,3289483,3291695,3266983,3224901,3179442,3141102,3112597,3091902,3079037,3072725,3071856,3077378,3089778,3106701,3124861,3141800,3156607,3169665,3181397,3192723,3204284
Algeria,population,14165889,14600659,15052371,15524137,16018195,16533323,17068212,17624756,18205468,18811199,19442423,20095648,20762767,21433070,22098298,22753511,23398470,24035237,24668100,25299182,25930560,26557969,27169903,27751086,28291591,28786855,29242917,29673694,30099010,30533827,30982214,31441848,31913462,32396048,32888449,33391954,33906605,34428028,34950168,35468208
Angola,population,6047736,6179685,6322194,6474796,6637419,6808850,6989988,7185188,7400231,7638420,7903368,8191774,8491682,8786652,9065562,9322550,9562796,9799680,10052567,10335052,10653515,11002910,11371750,11742960,12105105,12452725,12792237,13138265,13511575,13926373,14388244,14890474,15419943,15957460,16489021,17010366,17525367,18037964,18555115,19081912
Argentina,population,24376109,24791983,25222223,25654154,26078731,26492716,26899177,27303001,27711808,28131040,28561561,29001060,29447973,29899743,30354240,30810984,31269799,31729130,32187173,32642442,33093579,33540023,33982035,34420352,34855160,35287113,35714929,36134642,36541029,36930709,37302116,37657340,38001251,38340778,38681174,39023850,39368066,39714298,40062470,40412376
Australia,population,12987847,13236895,13472175,13690285,13889696,14067994,14227905,14379565,14536839,14709918,14901610,15109659,15332790,15567927,15812088,16066496,16330369,16596096,16853690,17096153,17320633,17529469,17727413,17921818,18118416,18319637,18525153,18734878,18947894,19164351,19382188,19604051,19840120,20103822,20403520,20744295,21119988,21513817,21902300,22268384
Austria,population,7497731,7526469,7550638,7568347,7578498,7580564,7575669,7566450,7556551,7548798,7544359,7543194,7545472,7550960,7559621,7570906,7585345,7605095,7632984,7670513,7719577,7778255,7839625,7894229,7935624,7960464,7971553,7976117,7984694,8004712,8038480,8083059,8134235,8185553,8232196,8273208,8309783,8341806,8369639,8393644
Bahrain,population,219532,228255,238468,250683,265160,282245,301559,321751,340980,357957,372074,383785,394164,404829,416929,430845,446142,462184,477995,492891,506685,519696,532362,545329,559069,574914,592986,611237,626765,638193,642510,642070,647164,671760,724807,811410,925733,1052359,1169578,1261835
Bangladesh,population,67849312,68461849,68933357,69567500,70582168,72053923,73915723,76066342,78342736,80624423,82883616,85156396,87459802,89828434,92283598,94825499,97429290,100062322,102681627,105256026,107768749,110225555,112645460,115059015,117486952,119928682,122370403,124803351,127214841,129592275,131944584,134266428,136514768,138633401,140587922,142353501,143956805,145478300,147030145,148692131
Belgium,population,9660688,9696539,9730978,9761867,9787677,9808403,9824685,9836487,9843898,9847297,9846320,9841800,9836784,9835279,9840123,9852488,9871551,9895654,9922158,9949019,9976325,10004469,10032084,10057529,10079873,10098192,10113392,10128653,10148371,10175684,10211264,10254025,10303108,10356993,10414209,10474993,10538758,10602167,10660938,10712066
Benin,population,2908713,2971515,3037990,3108179,3182130,3259918,3341618,3427274,3516917,3610578,3708675,3811326,3917941,4027682,4140176,4254522,4371470,4494242,4627194,4773137,4934077,5108335,5290562,5473217,5651141,5821985,5988093,6154708,6329476,6517810,6721337,6937985,7164976,7397985,7633757,7871707,8112573,8355980,8601771,8849892
Bolivia,population,4319564,4426012,4535500,4647442,4761344,4877275,4995172,5114274,5233624,5352649,5471025,5589245,5708585,5830816,5957291,6088253,6223523,6363470,6508417,6658462,6813834,6974168,7138204,7304230,7470925,7637622,7804333,7971237,8138802,8307248,8476709,8646659,8815911,8982917,9146655,9306660,9463497,9618466,9773441,9929849
Brazil,population,98445131,100828667,103242395,105703409,108224080,110804816,113442106,116138507,118895875,121711864,124588432,127514673,130459023,133380123,136246764,139049440,141791325,144470377,147088677,149650206,152146887,154582103,156985824,159398558,161848162,164342524,166869168,169409713,171936271,174425387,176877135,179289227,181633074,183873377,185986964,187958211,189798070,191543237,193246610,194946470
Brunei,population,131010,137181,143548,150039,156595,163208,169865,176488,182986,189300,195394,201301,207122,213002,219050,225288,231700,238305,245112,252125,259357,266794,274371,282000,289614,297188,304726,312216,319654,327036,334348,341585,348771,355943,363123,370317,377513,384695,391837,398920
Bulgaria,population,8541136,8590839,8637941,8681449,8720706,8754869,8784175,8810299,8835614,8861536,8888449,8914880,8938068,8954236,8960417,8956687,8943245,8917563,8876627,8818915,8743034,8651284,8550495,8449971,8356624,8273011,8198008,8130284,8067041,8006158,7947761,7892666,7840117,7789180,7739115,7689520,7640283,7591322,7542674,7494332
Cameroon,population,7022124,7210272,7407756,7616558,7837926,8072879,8320635,8578425,8842355,9109727,9379109,9651552,9929831,10218016,10518855,10832919,11158600,11493770,11835344,12180819,12529904,12882506,13236573,13589699,13940337,14287475,14631908,14976200,15324051,15678269,16039737,16408085,16783366,17165267,17553589,17948395,18350022,18758778,19175028,19598889
